timestamp,pid,x,y,z,device_serial,device_number,entry_time
1548223953000.0000000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223953031.2500000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223953062.5000000000,8,-7.0000000000,-9.0000000000,61.0000000000,A01A3A,5,1548223953000
1548223953093.7500000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223953125.0000000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223953156.2500000000,8,-6.0000000000,-9.0000000000,61.0000000000,A01A3A,5,1548223953000
1548223953187.5000000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223953218.7500000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223953250.0000000000,8,-6.0000000000,-9.0000000000,61.0000000000,A01A3A,5,1548223953000
1548223953281.2500000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223953312.5000000000,8,-7.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223953343.7500000000,8,-6.0000000000,-9.0000000000,61.0000000000,A01A3A,5,1548223953000
1548223953375.0000000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223953406.2500000000,8,-7.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223953437.5000000000,8,-6.0000000000,-9.0000000000,61.0000000000,A01A3A,5,1548223953000
1548223953468.7500000000,8,-6.0000000000,-9.0000000000,61.0000000000,A01A3A,5,1548223953000
1548223953500.0000000000,8,-7.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223953531.2500000000,8,-6.0000000000,-9.0000000000,61.0000000000,A01A3A,5,1548223953000
1548223953562.5000000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223953593.7500000000,8,-7.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223953625.0000000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223953656.2500000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223953687.5000000000,8,-7.0000000000,-9.0000000000,61.0000000000,A01A3A,5,1548223953000
1548223953718.7500000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223953750.0000000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223953781.2500000000,8,-6.0000000000,-9.0000000000,61.0000000000,A01A3A,5,1548223953000
1548223953812.5000000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223953843.7500000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223953875.0000000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223953906.2500000000,8,-7.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223953937.5000000000,8,-7.0000000000,-9.0000000000,61.0000000000,A01A3A,5,1548223953000
1548223953968.7500000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223954000.0000000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223954031.2500000000,8,-7.0000000000,-9.0000000000,61.0000000000,A01A3A,5,1548223953000
1548223954062.5000000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223954093.7500000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223954125.0000000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223954156.2500000000,8,-6.0000000000,-9.0000000000,61.0000000000,A01A3A,5,1548223953000
1548223954187.5000000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223954218.7500000000,8,-7.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223954250.0000000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223954281.2500000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223954312.5000000000,8,-7.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223954343.7500000000,8,-6.0000000000,-9.0000000000,61.0000000000,A01A3A,5,1548223953000
1548223954375.0000000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223954406.2500000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223954437.5000000000,8,-7.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223954468.7500000000,8,-6.0000000000,-9.0000000000,61.0000000000,A01A3A,5,1548223953000
1548223954500.0000000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223954531.2500000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223954562.5000000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223954593.7500000000,8,-6.0000000000,-9.0000000000,61.0000000000,A01A3A,5,1548223953000
1548223954625.0000000000,8,-6.0000000000,-9.0000000000,61.0000000000,A01A3A,5,1548223953000
1548223954656.2500000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
1548223954687.5000000000,8,-6.0000000000,-9.0000000000,62.0000000000,A01A3A,5,1548223953000
