timestamp,pid,x,y,z,device_serial,device_number,entry_time
1549934973000.0000000000,16,41.0000000000,-1.0000000000,49.0000000000,A01BBE,5,1549934973000
1549934973031.2500000000,16,41.0000000000,-1.0000000000,49.0000000000,A01BBE,5,1549934973000
1549934973062.5000000000,16,40.0000000000,-1.0000000000,49.0000000000,A01BBE,5,1549934973000
1549934973093.7500000000,16,40.0000000000,0E-10,48.0000000000,A01BBE,5,1549934973000
1549934973125.0000000000,16,41.0000000000,-1.0000000000,49.0000000000,A01BBE,5,1549934973000
1549934973156.2500000000,16,41.0000000000,-1.0000000000,49.0000000000,A01BBE,5,1549934973000
1549934973187.5000000000,16,40.0000000000,-1.0000000000,48.0000000000,A01BBE,5,1549934973000
1549934973218.7500000000,16,41.0000000000,0E-10,48.0000000000,A01BBE,5,1549934973000
1549934973250.0000000000,16,41.0000000000,-1.0000000000,49.0000000000,A01BBE,5,1549934973000
1549934973281.2500000000,16,41.0000000000,-1.0000000000,49.0000000000,A01BBE,5,1549934973000
1549934973312.5000000000,16,41.0000000000,-1.0000000000,49.0000000000,A01BBE,5,1549934973000
1549934973343.7500000000,16,40.0000000000,-1.0000000000,49.0000000000,A01BBE,5,1549934973000
1549934973375.0000000000,16,40.0000000000,-1.0000000000,49.0000000000,A01BBE,5,1549934973000
1549934973406.2500000000,16,41.0000000000,0E-10,48.0000000000,A01BBE,5,1549934973000
1549934973437.5000000000,16,41.0000000000,0E-10,48.0000000000,A01BBE,5,1549934973000
1549934973468.7500000000,16,41.0000000000,0E-10,49.0000000000,A01BBE,5,1549934973000
1549934973500.0000000000,16,40.0000000000,0E-10,49.0000000000,A01BBE,5,1549934973000
1549934973531.2500000000,16,41.0000000000,0E-10,48.0000000000,A01BBE,5,1549934973000
1549934973562.5000000000,16,41.0000000000,1.0000000000,47.0000000000,A01BBE,5,1549934973000
1549934973593.7500000000,16,41.0000000000,1.0000000000,47.0000000000,A01BBE,5,1549934973000
1549934973625.0000000000,16,41.0000000000,1.0000000000,48.0000000000,A01BBE,5,1549934973000
1549934973656.2500000000,16,41.0000000000,1.0000000000,48.0000000000,A01BBE,5,1549934973000
1549934973687.5000000000,16,41.0000000000,1.0000000000,48.0000000000,A01BBE,5,1549934973000
1549934973718.7500000000,16,42.0000000000,1.0000000000,47.0000000000,A01BBE,5,1549934973000
1549934973750.0000000000,16,41.0000000000,0E-10,48.0000000000,A01BBE,5,1549934973000
1549934973781.2500000000,16,41.0000000000,0E-10,49.0000000000,A01BBE,5,1549934973000
1549934973812.5000000000,16,41.0000000000,1.0000000000,48.0000000000,A01BBE,5,1549934973000
1549934973843.7500000000,16,41.0000000000,1.0000000000,46.0000000000,A01BBE,5,1549934973000
1549934973875.0000000000,16,41.0000000000,1.0000000000,47.0000000000,A01BBE,5,1549934973000
1549934973906.2500000000,16,42.0000000000,2.0000000000,47.0000000000,A01BBE,5,1549934973000
1549934973937.5000000000,16,42.0000000000,2.0000000000,47.0000000000,A01BBE,5,1549934973000
1549934973968.7500000000,16,43.0000000000,2.0000000000,47.0000000000,A01BBE,5,1549934973000
1549934974000.0000000000,16,43.0000000000,2.0000000000,47.0000000000,A01BBE,5,1549934973000
1549934974031.2500000000,16,43.0000000000,2.0000000000,47.0000000000,A01BBE,5,1549934973000
1549934974062.5000000000,16,43.0000000000,2.0000000000,46.0000000000,A01BBE,5,1549934973000
1549934974093.7500000000,16,42.0000000000,2.0000000000,47.0000000000,A01BBE,5,1549934973000
1549934974125.0000000000,16,43.0000000000,3.0000000000,45.0000000000,A01BBE,5,1549934973000
1549934974156.2500000000,16,43.0000000000,3.0000000000,45.0000000000,A01BBE,5,1549934973000
1549934974187.5000000000,16,43.0000000000,1.0000000000,48.0000000000,A01BBE,5,1549934973000
1549934974218.7500000000,16,42.0000000000,0E-10,49.0000000000,A01BBE,5,1549934973000
1549934974250.0000000000,16,42.0000000000,0E-10,48.0000000000,A01BBE,5,1549934973000
1549934974281.2500000000,16,43.0000000000,0E-10,47.0000000000,A01BBE,5,1549934973000
1549934974312.5000000000,16,42.0000000000,0E-10,46.0000000000,A01BBE,5,1549934973000
1549934974343.7500000000,16,43.0000000000,0E-10,47.0000000000,A01BBE,5,1549934973000
1549934974375.0000000000,16,43.0000000000,0E-10,47.0000000000,A01BBE,5,1549934973000
1549934974406.2500000000,16,42.0000000000,0E-10,46.0000000000,A01BBE,5,1549934973000
1549934974437.5000000000,16,43.0000000000,0E-10,46.0000000000,A01BBE,5,1549934973000
1549934974468.7500000000,16,43.0000000000,0E-10,46.0000000000,A01BBE,5,1549934973000
1549934974500.0000000000,16,43.0000000000,0E-10,47.0000000000,A01BBE,5,1549934973000
1549934974531.2500000000,16,42.0000000000,0E-10,47.0000000000,A01BBE,5,1549934973000
1549934974562.5000000000,16,43.0000000000,0E-10,47.0000000000,A01BBE,5,1549934973000
1549934974593.7500000000,16,43.0000000000,0E-10,47.0000000000,A01BBE,5,1549934973000
1549934974625.0000000000,16,43.0000000000,0E-10,47.0000000000,A01BBE,5,1549934973000
1549934974656.2500000000,16,43.0000000000,0E-10,47.0000000000,A01BBE,5,1549934973000
1549934974687.5000000000,16,42.0000000000,-1.0000000000,46.0000000000,A01BBE,5,1549934973000
1549934974718.7500000000,16,43.0000000000,-1.0000000000,48.0000000000,A01BBE,5,1549934973000
1549934974750.0000000000,16,43.0000000000,0E-10,48.0000000000,A01BBE,5,1549934973000
1549934974781.2500000000,16,42.0000000000,1.0000000000,47.0000000000,A01BBE,5,1549934973000
1549934974812.5000000000,16,43.0000000000,1.0000000000,46.0000000000,A01BBE,5,1549934973000
1549934974843.7500000000,16,43.0000000000,1.0000000000,46.0000000000,A01BBE,5,1549934973000
1549934974875.0000000000,16,42.0000000000,1.0000000000,47.0000000000,A01BBE,5,1549934973000
1549934974906.2500000000,16,44.0000000000,1.0000000000,46.0000000000,A01BBE,5,1549934973000
